Date,PortfolioName,Action,Asset,QuantityChange,ValueChange
2026-07-13,Value Fund,Sell,META,-44,21882.37
2026-07-14,Dividend Fund,Sell,NFLX,-59,24803.7
2026-07-15,Tech Fund,Sell,TSLA,-11,3158.21
2026-07-16,Dividend Fund,Buy,NFLX,99,45672.07
2026-07-17,Tech Fund,Buy,AAPL,59,8693.5
2026-07-18,Value Fund,Sell,MSFT,-88,33270.7
2026-07-19,Dividend Fund,Buy,GOOG,39,7396.36
2026-07-20,Dividend Fund,Buy,GOOG,35,15861.75
2026-07-21,Growth Fund,Buy,GOOG,66,15955.41
2026-07-22,Tech Fund,Sell,AAPL,-60,16626.18
2026-07-23,Dividend Fund,Buy,META,10,2491.35
2026-07-24,Dividend Fund,Buy,META,5,430.7
2026-07-25,Tech Fund,Sell,GOOGL,-99,10722.14
2026-07-26,Tech Fund,Buy,TSLA,45,10246.82
2026-07-27,Tech Fund,Sell,GOOG,-75,4916.39
2026-07-28,Tech Fund,Buy,MSFT,7,3365.26
2026-07-29,Growth Fund,Buy,MSFT,44,21312.26
2026-07-30,Value Fund,Sell,GOOGL,-18,4628.54
2026-07-31,Value Fund,Buy,GOOG,8,1243.53
2026-08-01,Dividend Fund,Buy,AMZN,2,364.1
2026-08-02,Dividend Fund,Sell,MSFT,-43,11745.16
2026-08-03,Value Fund,Sell,AMZN,-91,20751.16
2026-08-04,Growth Fund,Buy,NVDA,57,27926.07
2026-08-05,Tech Fund,Sell,AMZN,-22,10067.22
2026-08-06,Growth Fund,Sell,TSLA,-21,8930.34
2026-08-07,Growth Fund,Buy,NVDA,12,1680.68
2026-08-08,Value Fund,Sell,AMZN,-51,5827.7
2026-08-09,Value Fund,Sell,TSLA,-84,8014.33
2026-08-10,Tech Fund,Sell,NVDA,-64,31381.77
2026-08-11,Growth Fund,Sell,AMZN,-65,28428.38
2026-08-12,Dividend Fund,Sell,GOOG,-85,5541.7
2026-08-13,Dividend Fund,Buy,AAPL,28,7588.99
2026-08-14,Growth Fund,Buy,AMZN,79,38582.82
2026-08-15,Dividend Fund,Sell,NFLX,-43,15901.82
2026-08-16,Tech Fund,Sell,AMZN,-27,11250.46
2026-08-17,Growth Fund,Sell,BABA,-62,22852.68
2026-08-18,Tech Fund,Buy,AAPL,21,7909.18
2026-08-19,Tech Fund,Buy,AMZN,85,15192.26
2026-08-20,Tech Fund,Sell,AAPL,-34,13445.5
2026-08-21,Growth Fund,Sell,TSLA,-49,16509.78
2026-08-22,Value Fund,Buy,TSLA,47,9172.3
2026-08-23,Value Fund,Buy,AAPL,83,30532.43
2026-08-24,Growth Fund,Sell,NVDA,-24,10138.54
2026-08-25,Tech Fund,Buy,GOOGL,78,34860.3
2026-08-26,Growth Fund,Buy,GOOGL,53,22923.88
2026-08-27,Value Fund,Sell,GOOGL,-95,44521.21
2026-08-28,Growth Fund,Buy,MSFT,72,8912.45
2026-08-29,Dividend Fund,Sell,AAPL,-68,5591.49
2026-08-30,Value Fund,Buy,NVDA,41,16633.28
2026-08-31,Growth Fund,Sell,GOOG,-72,19964.43
2026-09-01,Value Fund,Buy,MSFT,83,6938.87
2026-09-02,Dividend Fund,Sell,MSFT,-30,6704.51
2026-09-03,Dividend Fund,Sell,GOOG,-85,41814.48
2026-09-04,Dividend Fund,Buy,MSFT,61,4131.53
2026-09-05,Tech Fund,Buy,META,48,18043.23
2026-09-06,Value Fund,Buy,TSLA,52,5235.55
2026-09-07,Growth Fund,Sell,GOOG,-46,8050.71
2026-09-08,Growth Fund,Sell,GOOG,-27,9169.52
2026-09-09,Tech Fund,Sell,NVDA,-82,39148.43
2026-09-10,Growth Fund,Sell,MSFT,-14,3556.87
2026-09-11,Tech Fund,Buy,TSLA,61,8771.06
2026-09-12,Growth Fund,Sell,AAPL,-87,38565.17
2026-09-13,Growth Fund,Sell,TSLA,-18,2084.25
2026-09-14,Tech Fund,Buy,NFLX,79,32442.12
2026-09-15,Dividend Fund,Sell,NFLX,-6,2377.25
2026-09-16,Growth Fund,Sell,GOOG,-81,8255.88
2026-09-17,Value Fund,Sell,MSFT,-64,21416.61
2026-09-18,Tech Fund,Buy,BABA,17,7248.23
2026-09-19,Value Fund,Buy,META,5,1480.65
2026-09-20,Growth Fund,Sell,META,-97,21673.93
2026-09-21,Growth Fund,Sell,MSFT,-58,11663.73
2026-09-22,Value Fund,Buy,BABA,46,10469.36
2026-09-23,Value Fund,Sell,GOOG,-50,21206.8
2026-09-24,Dividend Fund,Sell,TSLA,-51,16032.69
2026-09-25,Dividend Fund,Buy,AAPL,47,20320.3
2026-09-26,Value Fund,Sell,MSFT,-34,2715.01
